cid,contributor_employer_clean,emp_count
Walmart,walmart,76
Walmart,walmartcom,6
Walmart,walmart stores,6
Walmart,walmart pharmacy,3
Walmart,walmartreal estate,3
Walmart,walmarttruck driver,3
Walmart,walmartstockersalesman,3
Walmart,walmart distribution,2
Walmart,walmartbutcher,2
Walmart,walmartexecutive,2
Walmart,walmart optical,1
Walmart,walmart associatessales associate,1
Walmart,walmart vision center,1
Exxon Mobile,exxon mobile,22
Exxon Mobile,exxon mobile chemical,2
Exxon Mobile,exxon mobilerice u,1
Exxon Mobile,exxon mobileaccountant,1
Exxon Mobile,exxon mobile production,1
Exxon Mobile,exxon mobile corpattorney,1
Marathon Oil,marathon oil,112
Marathon Oil,marathon oilexecutive,4
Marathon Oil,marathon oil contractor,1
Marathon Oil,marathon oil vp human resou,1
Marathon Oil,marathon oil sr vp producti,1
Marathon Oil,marathon oil sr vice pres f,1
Marathon Oil,marathon oil vp information,1
Marathon Oil,marathon oil cobusiness manager,1
Marathon Oil,marathon oil manager treasu,1
Marathon Oil,marathon oil vp global proc,1
Marathon Oil,marathon oil vp nat gas c,1
Apple,apple computer,218
Apple,apple,35
Apple,apple computers,12
Apple,engineer,2
Berkshire Hathaway,berkshire hathaway,12
Berkshire Hathaway,,5
Berkshire Hathaway,berkshire hathaway incchairman,1
Berkshire Hathaway,berkshire hathaway credit corpinv,1
Berkshire Hathaway,berkshire hathaway reinsurance,1
Berkshire Hathaway,berkshire hathaway insurance,1
Amazon,amazoncom,122
Amazon,amazoncom holdings,40
Amazon,amazon,9
Amazon,software engineer,5
Amazon,amazoncommanager,4
Amazon,amazon com,3
Amazon,amazoncomvp,3
Amazon,amazoncomcomputer programmer,3
Amazon,amazon foundation,3
Amazon,amazoncomattorney,2
Amazon,amazoncomexecutive,1
Amazon,sr financial analyst,1
Amazon,amazoncomlawyer,1
Amazon,amazoncom incmanager,1
Amazon,amazoncomprogram manager,1
Amazon,amazoncomsoftware manager,1
Amazon,amazoncompublic affairs,1
Amazon,amazoncoukcomputer programmer,1
Amazon,amazoncomself employed,1
Amazon,amazoncomcopyeditor,1
Amazon,amazoncomsales,1
Amazon,amazon environmental,1
Amazon,amazon dot com,1
Boeing,boeing,1046
Boeing,boeingengineer,20
