cid,contributor_occupation_clean,occ_count
Walmart,walmart,2
Walmart,walmart stores,1
Exxon Mobile,exxon mobile,6
Marathon Oil,marathon oil,12
Apple,apple computer,19
Apple,apple,4
Berkshire Hathaway,berkshire hathaway,5
Amazon,amazoncom,9
Amazon,amazon,3
Amazon,amazoncom holdings,2
Amazon,amazon printers ceo,1
Boeing,boeing,183
Boeing,boeing nasa systems,2
Boeing,boeing integrated defe,1
Boeing,boeing commercial aircraft,1
Boeing,boeing sat sys,1
Boeing,boeing 3,1
Boeing,boeing commercial,1
Boeing,boeing emp credit union,1
Home Depot,home depot,6
Ford Motor,ford motor,27
Kroger,kroger,3
Kroger,smiths food drug dir of kroger,1
Chevron,chevron texaco,8
Chevron,chevron,4
Chevron,chevron trading post,2
Chevron,chevron texacotan deat,1
Chevron,chevron gas station,1
Chevron,chevron phillips chemical,1
Morgan Chase,jp morgan chase,108
Morgan Chase,j p morgan chase,25
Morgan Chase,jp morgan chase bank,5
Morgan Chase,jpmorgan chase,3
Morgan Chase,tp morgan chase,2
Morgan Chase,jpmorgan chase bank,1
Wells Fargo,wells fargo,114
Wells Fargo,wells fargo financial,36
Wells Fargo,wells fargo bank,16
Wells Fargo,wells fargo financial acceptance in,10
Wells Fargo,wells fargo home mortgage,5
Wells Fargo,wells fargo financial bank,2
Wells Fargo,wells fargo home mortage,2
Wells Fargo,wells fargo card services,2
Wells Fargo,wells fargo bank nv,2
Wells Fargo,wells fargo brokerage services,1
Wells Fargo,wells fargo foothill,1
Wells Fargo,wells fargo banks,1
Wells Fargo,wells fargo banks el paso,1
Wells Fargo,wells fargo educational finance ser,1
Wells Fargo,wells fargo bank na,1
Wells Fargo,wells fargo financial retail servic,1
Wells Fargo,wells fargo financial preferred cap,1
Wells Fargo,wells fargo home mtg bank,1
Wells Fargo,wells fargominnesota,1
Wells Fargo,wells fargo financial leasing,1
