rank,company,alias,cid,anti_alias
1,Walmart,Wal-mart|Walmart.com|Wal-mart.com,Walmart,
2,Berkshire Hathaway,Berkshire Hathaway,Berkshire Hathaway,
3,Apple,Apple,Apple,"""|apple oak|apple cor|apple bank|apple tree|apple farmer|apple physical|apple auto|apple reit|apple valley|apple hill|apple river|apple bay|apple mountain|apple marine|apple shamrock|apple plumb|apple dessert|apple mart|apple savings|apple thera|apple gold|apple metro|apple ford|apple chevrolet|apple honda|apple king|apple grower|apple picker|apple patch|apple rehab|apple sauce|apple seeds|apple grove|apple vine|apple deniture|apple bank|apple federal|apple fcu|apple realty|apple oil|apple one|apple creek|apple barn|apple health|apple roof|apple blossom|apple jack|apple dental|apple country|apple orchard|apple a |apple farm|apple corrugated|apple canyon|apple lumber|apple vaca|apple spice|apple orthodontix|apple house|apple brook|apple exterminat|apple manor|apple basket|apple fund|apple hospitality|apple daily|apple dentu|apple mortgage|apple montes|apple chrysler|apple dodge|apple real estate|apple spring|apple apprais|apple america|apple eve|apple rubber|apple chem|apple koceja|apple transp|apple bus|apple leisure|apple by |apple care med|apple med|apple honen|apple gilroy|apple construct|apple mason|apple electric|apple annies|apple cherry|apple dentist|apple discount drug|"""
4,Exxon Mobil,ExxonMobil|Exxon,Exxon Mobil,
5,McKesson,McKesson,McKesson,
6,UnitedHealth Group,UnitedHealth,UnitedHealth Group,
7,CVS Health,CVS,CVS Health,
8,General Motors,General Motors,General Motors,
9,AT&T,ATT,AT&T,"""|att at law|"""
10,Ford Motor,Ford,Ford Motor,"""|ford foundation|"""
11,AmerisourceBergen,AmerisourceBergen,AmerisourceBergen,
12,Amazon.com,Amazon,Amazon.com,
13,General Electric,General Electric|GE,General Electric,
14,Verizon Communications,Verizon,Verizon Communications,
15,Cardinal Health,Cardinal Health,Cardinal Health,
16,Costco,Costco,Costco,
17,Walgreens Boots Alliance,Walgreens,Walgreens Boots Alliance,
18,Kroger,Kroger,Kroger,
19,Chevron,Chevron,Chevron,
20,Fannie Mae,Fannie Mae,Fannie Mae,
21,J.P. Morgan Chase,J.P. Morgan|JP Morgan|JPMorgan|Morgan Chase,J.P. Morgan Chase,
22,Express Scripts Holding,Express Scripts Holding|Express Scripts|Express-Scripts|ExpressScripts|Accredo|Curascript|Inside Rx|United BioSource,Express Scripts Holding,
23,Home Depot,Home Depot,Home Depot,
24,Boeing,Boeing,Boeing,
25,Wells Fargo,Wells Fargo,Wells Fargo,
26,Bank of America Corp.,Bank of America,Bank of America Corp.,
27,Alphabet,Google,Alphabet,
28,Microsoft,Microsoft,Microsoft,
29,Anthem,Anthem,Anthem,
30,Citigroup,Citigroup|Citibank|Citimortgage|Citi Securities,Citigroup,
31,Comcast,Comcast,Comcast,
32,IBM,IBM,IBM,
33,State Farm Insurance Cos.,State Farm,State Farm Insurance Cos.,"""|State of|"""
34,Phillips 66,Phillips 66,Phillips 66,
35,Johnson & Johnson,Johnson&Johnson|Johnson Johnson,Johnson & Johnson,
36,Procter & Gamble,Procter&Gamble|ProcterGamble,Procter & Gamble,
37,Valero Energy,Valero Energy,Valero Energy,
38,Target,Target,Target,
39,Freddie Mac,Freddie Mac,Freddie Mac,
40,Lowe's,Lowes,Lowe's,
41,Dell Technologies,Dell,Dell Technologies,
42,MetLife,MetLife,MetLife,
43,Aetna,Aetna,Aetna,
44,PepsiCo,Pepsi,PepsiCo,
45,Archer Daniels Midland,Archer Daniels Midland,Archer Daniels Midland,
